University Name,Times Higher Education (THE) World University Ranking
Denau Institute of Entrepreneurship and Pedagogy,Reporter
Doğuş University,Reporter
Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),Reporter
Dr. M.G.R. Educational and Research Institute,Reporter
University of Dubai,Reporter
DHA Suffa University,Reporter
University of Duhok,Reporter
EAN University,Reporter
Ebonyi State University,Reporter
University of El Oued,Reporter
École Nationale Polytechnique,Reporter
École Polytechnique d’Architecture et d’Urbanisme,Reporter
Academy of Economic Studies of Moldova,Reporter
Edo State University Uzairue,Reporter
"University of Education, Lahore",Reporter
Effat University,Reporter
Egerton University,Reporter
Egyptian Russian University,Reporter
Egypt-Japan University of Science and Technology (E-JUST),Reporter
"University of Engineering and Technology, Mardan",Reporter
ESIC,Reporter
Universidade Estadual de Goiás,Reporter
European University Cyprus,Reporter
European University of Valencia,Reporter
"Evangel University, Akaeze",Reporter
Externado University of Colombia,Reporter
Falmouth University,Reporter
Federal University Gashua,Reporter
Federal University of Kashere,Reporter
Federal University of Lafia,Reporter
Federal University of Latin American Integration (UNILA),Reporter
"Federal University of Petroleum Resources, Effurun",Reporter
"Federal University of Technology, Minna",Reporter
"Federal University of Technology, Owerri",Reporter
First Technical University,Reporter
Fountain University,Reporter
University of Franca,Reporter
Fukui Prefectural University,Reporter
Fundação Oswaldo Cruz,Reporter
Fundación Universitaria del Área Andina,Reporter
Future University in Egypt,Reporter
General Sir John Kotelawala Defence University,Reporter
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Reporter
GLA University,Reporter
Fergana Polytechnic Institute,Reporter
Glasgow School of Art,Reporter
University of Gloucestershire,Reporter
Government College Women University Faisalabad,Reporter
"Government College Women University, Sialkot",Reporter
"The Graduate University for Advanced Studies, SOKENDAI",Reporter
Greenwich University,Reporter
Gregory University Uturu,Reporter
Guildhall School of Music and Drama,Reporter
Gulf College,Reporter
Harper Adams University,Reporter
Hartpury University,Reporter
Hassiba Benbouali University of Chlef,Reporter
Hawler Medical University,Reporter
University of Health and Allied Sciences,Reporter
"University of Health Sciences, Turkey",Reporter
University of the Highlands and Islands,Reporter
Hindustan Institute of Technology and Science,Reporter
Hiroshima Shudo University,Reporter
Hiroshima Institute of Technology,Reporter
Hitotsubashi University,Reporter
Huachiew Chalermprakiet University,Reporter
University of Human Development,Reporter
Hyogo University of Teacher Education,Reporter
IFHE Hyderabad,Reporter
Ignatius Ajuru University of Education,Reporter
Ilma University,Reporter
IMT Mines Alès,Reporter
Indira Gandhi Delhi Technical University for Women,Reporter
Institute of Cancer Research,Reporter
International Christian University,Reporter
International University of Rabat,Reporter
Ionian University,Reporter
Ion Mincu University of Architecture and Urbanism,Reporter
Islamia College Peshawar,Reporter
The Islamic University,Reporter
Islamic University of Gaza,Reporter
Islamic University of Madinah,Reporter
Isra University,Reporter
Israel Technological University,Reporter
Istanbul Aydın University,Reporter
Istanbul Gelişim University,Reporter
IUBAT – International University of Business Agriculture and Technology,Reporter
Universita IULM,Reporter
Jabir ibn Hayyan Medical University,Reporter
Japan Advanced Institute of Science and Technology (JAIST),Reporter
Jashore University of Science and Technology,Reporter
Jerash Private University,Reporter
University of Jijel,Reporter
University of Jos,Reporter
Kamianets-Podіlskyi Ivan Ohiienko National University,Reporter
Kampala International University,Reporter
Karaganda University of Kazpotrebsoyuz,Reporter
Karshi State University,Reporter
Kastamonu University,Reporter
Kazakh National Pedagogical University Abai,Reporter
University of Kelaniya,Reporter
University of Kerbala,Reporter
Kermanshah University of Technology,Reporter
Kharkiv University of Humanities “People’s Ukrainian Academy”,Reporter
Kadir Has University,Reporter
Khazar University,Reporter
Khomein University of Medical Sciences,Reporter
Khulna University,Reporter
Khwaja Fareed University of Engineering and Information Technology,Reporter
Khyber Medical University,Reporter
Kings University,Reporter
University of Kirkuk,Reporter
Kitami Institute of Technology,Reporter
Kobe City University of Foreign Studies,Reporter
Kobe Gakuin University,Reporter
Kocaeli Health and Technology University,Reporter
Kokshetau State University,Reporter
Konan Women’s University,Reporter
Konya Technical University,Reporter
KTO Karatay University,Reporter
Kyiv National Economic University,Reporter
Kyoai Gakuen University,Reporter
Kyrgyz-Turkish Manas University,Reporter
University of Laghouat,Reporter
Lagos State University,Reporter
Knowledge University,Reporter
University of Lampung,Reporter
Landmark University,Reporter
La Salle University,Reporter
University of Las Américas (UDLA),Reporter
Leeds Arts University,Reporter
Leeds Conservatoire,Reporter
Leeds Trinity University,Reporter
Koya University,Reporter
Lesya Ukrainka Volyn National University,Reporter
University of Liberal Arts Bangladesh,Reporter
Liverpool Hope University,Reporter
Liverpool Institute for Performing Arts,Reporter
Liverpool School of Tropical Medicine,Reporter
The LNM Institute of Information Technology,Reporter
Loei Rajabhat University,Reporter
London Business School,Reporter
London School of Hygiene and Tropical Medicine,Reporter
London Metropolitan University,Reporter
University of Los Lagos,Reporter
Universidad Loyola,Reporter
Malawi University of Science and Technology (MUST),Reporter
Management Development Institute (MDI),Reporter
Marian College Kuttikkanam (Autonomous),Reporter
Maritime University of Szczecin,Reporter
University of Mascara,Reporter
Universidad Mayor,Reporter
University of Medellín,Reporter
Meikai University,Reporter
Michael and Cecilia Ibru University,Reporter
"Michael Okpara University of Agriculture, Umudike",Reporter
Middle Technical University,Reporter
Mindanao State University – Iligan Institute of Technology,Reporter
MIOTI Tech and Business School,Reporter
Mirpur University of Science and Technology,Reporter
University of Misan,Reporter
Misr University for Science and Technology,Reporter
Mahatma Jyotiba Phule Rohilkhand University,Reporter
M. Kumarasamy College of Engineering,Reporter
"MNS University of Agriculture, Multan",Reporter
Modern University for Business and Science,Reporter
Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,Reporter
Universidad Monteávila,Reporter
University of Monterrey,Reporter
October University for Modern Sciences and Arts (MSA),Reporter
Muban Chombueng Rajabhat University,Reporter
Mukogawa Women’s University,Reporter
Mulungushi University,Reporter
Mutah University,Reporter
Universidad Nacional de Chimborazo,Reporter
Universidad Nacional de Itapúa,Reporter
Nagoya University of Commerce & Business,Reporter
Najran University,Reporter
Nakhchivan State University,Reporter
Namangan Engineering Construction Institute,Reporter
Namangan Institute of Engineering and Technology,Reporter
Namangan State University,Reporter
Nara Institute of Science and Technology,Reporter
Nara Women’s University,Reporter
National Aviation University,Reporter
National University of Computer and Emerging Sciences,Reporter
National Film and Television School,Reporter
National University of Medical Sciences (NUMS),Reporter
National University of Mongolia,Reporter
National University Odessa Law Academy,Reporter
The National University of Ostroh Academy,Reporter
National Polytechnic University of Armenia,Reporter
National University of Quilmes,Reporter
"National University of Science and Technology, Oman",Reporter
"National University, Sudan",Reporter
National Taichung University of Science and Technology,Reporter
National Transport University,Reporter
National University of Water and Environmental Engineering,Reporter
National University “Yuri Kondratyuk Poltava Polytechnic”,Reporter
Navoi State Pedagogical Institute,Reporter
Universitas Negeri Surabaya,Reporter
Newman University,Reporter
Niger Delta University,Reporter
"Nigerian Police Academy, Wudil",Reporter
Nihon Pharmaceutical University,Reporter
Niigata University of Health and Welfare,Reporter
University of Niigata Prefecture,Reporter
Nile University,Reporter
Ninevah University,Reporter
Nitte (Deemed to be University),Reporter
University of Northampton,Reporter
Northeast Ohio Medical University,Reporter
Northern Technical University,Reporter
Norwich University of the Arts,Reporter
University of Nova Gorica,Reporter
Novena University,Reporter
Nursing School of Coimbra,Reporter
October 6 University,Reporter
Oguz Han Engineering and Technology University of Turkmenistan,Reporter
Olusegun Agagu University of Science and Technology,Reporter
ORT Uruguay University,Reporter
Ostrogradsky National University of Kremenchuk,Reporter
Palestine Polytechnic University,Reporter
Palestine Technical University – Kadoorie,Reporter
Panteion University of Social and Political Sciences,Reporter
Paris University of International Education,Reporter
Pavlo Tychyna Uman State Pedagogical University,Reporter
University of Petra,Reporter
Pharos University,Reporter
University of Phayao,Reporter
Philadelphia University (Jordan),Reporter
Plymouth Marjon University,Reporter
Polytechnic University of Tirana,Reporter
Poltava V.G. Korolenko National Pedagogical University (PNPU),Reporter
Polytechnic Institute of Setúbal,Reporter
Universidad Popular Autónoma del Estado de Puebla,Reporter
Prefectural University of Hiroshima,Reporter
Prince Sultan University (PSU),Reporter
"University of Professional Studies, Accra",Reporter
University of Puthisastra,Reporter
Queen Margaret University,Reporter
Rajamangala University of Technology Isan,Reporter
Ravensbourne,Reporter
Rawalpindi Medical University,Reporter
Rennes School of Business,Reporter
REVA University,Reporter
Rose Bruford College,Reporter
Royal Agricultural University,Reporter
"Royal Central School of Speech and Drama, University of London",Reporter
Royal College of Art,Reporter
Royal Conservatoire of Scotland,Reporter
Royal Academy of Music,Reporter
Royal College of Music,Reporter
Royal Northern College of Music,Reporter
University of Sadat City,Reporter
University of Saint Joseph,Reporter
Sakon Nakhon Rajabhat University,Reporter
Salahaddin University,Reporter
Salem University,Reporter
Samarkand State University,Reporter
Samarkand State Institute of Foreign Languages,Reporter
Samuel Adegboyega University,Reporter
Universidad San Ignacio de Loyola,Reporter
University of San Martín de Porres,Reporter
University of Santo Tomas,Reporter
Satya Wacana Christian University,Reporter
Saudi Electronic University,Reporter
SBS Swiss Business School,Reporter
University of Science and Technology of Southern Philippines (USTP),Reporter
Sefako Makgatho Health Sciences University,Reporter
Senshu University,Reporter
Shaheed Benazir Bhutto Women University Peshawar,Reporter
Shaheed Zulfiqar Ali Bhutto Medical University,Reporter
The University of Shiga Prefecture,Reporter
Shonan Institute of Technology,Reporter
Samarkand State Medical University,Reporter
Shri Mata Vaishno Devi University,Reporter
Sikkim Manipal University,Reporter
Silesian University in Opava,Reporter
Simón Bolívar University,Reporter
Simón Bolívar University (Colombia),Reporter
Sir Syed University of Engineering and Technology,Reporter
Sokoto State University,Reporter
"Solent University, Southampton",Reporter
University of Sopron,Reporter
Soran University,Reporter
University of South Santa Catarina (Unisul),Reporter
SR University,Reporter
Sri Balaji Vidyapeeth,Reporter
University of Sri Jayewardenepura,Reporter
Sri Lanka Institute of Information Technology,Reporter
Sri Padmavati Mahila Visvavidyalayam (Women's University),Reporter
State University of Bahia,Reporter
State Energy Institute of Turkmenistan,Reporter
"St Mary’s University College, Belfast",Reporter
"St Mary’s University, Twickenham",Reporter
Stranmillis University College,Reporter
Suez University,Reporter
University of Suffolk,Reporter
Sugiyama Jogakuen University,Reporter
Sulaimani Polytechnic University,Reporter
Suratthani Rajabhat University,Reporter
Széchenyi István University,Reporter
Tafila Technical University,Reporter
University of Taipei,Reporter
Tama Art University,Reporter
Tarlac Agricultural University,Reporter
Tarsus University,Reporter
Tashkent Institute of Finance,Reporter
Tashkent University of Information Technologies,Reporter
Tashkent Institute of Irrigation and Agricultural Mechanisation,Reporter
Tashkent Medical Academy,Reporter
Tashkent Pediatric Medical Institute,Reporter
Tashkent Pharmaceutical Institute,Reporter
Tashkent State Agrarian University,Reporter
Tashkent State Dental Institute,Reporter
Tashkent State University of Law,Reporter
Université Sultan Moulay Slimane,Reporter
Tashkent State University of Oriental Studies,Reporter
Tashkent State Technical University,Reporter
Tashkent State Transport University,Reporter
Tashkent Institute of Textile and Light Industry,Reporter
Tatung University,Reporter
Tecmilenio University,Reporter
Tecnológico de Costa Rica,Reporter
Instituto Tecnológico Metropolitano,Reporter
Institut Teknologi Nasional Bandung (ITENAS Bandung),Reporter
University of Telafer,Reporter
Tenri University,Reporter
Termez State University,Reporter
Termez Institute of Engineering and Technology,Reporter
Tikrit University,Reporter
Tokyo University of Foreign Studies,Reporter
Tashkent State University of Economics,Reporter
Toyama Prefectural University,Reporter
Trinity Laban Conservatoire of Music and Dance,Reporter
Turin Polytechnic University in Tashkent,Reporter
Ubon Ratchathani University,Reporter
UBT,Reporter
UIN Sulthan Thaha Saifuddin Jambi,Reporter
Umaru Musa Yar’adua University,Reporter
Unichristus,Reporter
United International University,Reporter
Universidad del Pacífico Ecuador,Reporter
University College of Osteopathy,Reporter
Institute of Telecommunications and Informatics of Turkmenistan,Reporter
UNNOBA,Reporter
Urgench State University,Reporter
Üsküdar University,Reporter
"Usmanu Danfodiyo University, Sokoto",Reporter
Universidad UTE,Reporter
University of Uyo,Reporter
National University of Uzbekistan named after Mirzo Ulugbek,Reporter
Valahia University of Targoviste,Reporter
University of Vale do Itajaí,Reporter
Varendra University,Reporter
Varna University of Management,Reporter
"Veritas University, Abuja",Reporter
University of Veterinary Medicine and Pharmacy in Košice,Reporter
Vila Velha University,Reporter
Virtual University of Tunis,Reporter
Visayas State University,Reporter
University of Wales Trinity Saint David,Reporter
​Wellspring University,Reporter
Western Caspian University,Reporter
University of West London,Reporter
West Ukrainian National University,Reporter
West Virginia University,Reporter
WHU: Beisheim,Reporter
University of Worcester,Reporter
Uzhhorod National University,Reporter
The World Islamic Sciences and Education University (WISE),Reporter
Wrexham Glyndwr University,Reporter
Writtle University College,Reporter
WSB Academy,Reporter
Yagshigeldi Kakayev International University of Oil and Gas,Reporter
Yamaguchi Prefectural University,Reporter
Yogyakarta State University,Reporter
York St John University,Reporter
"Yusuf Maitama Sule University, Kano",Reporter
Zhytomyr Polytechnic State University,Reporter
Ziauddin University,Reporter
Zarqa University,Reporter
