University Name,Times Higher Education (THE) World University Ranking
Universiti Putra Malaysia,601–800
Qingdao University,601–800
Université du Québec,601–800
University of Regina,601–800
Rensselaer Polytechnic Institute,601–800
Riga Stradiņš University,601–800
Riphah International University,601–800
Rovira i Virgili University,601–800
Universiti Sains Malaysia,601–800
San Diego State University,601–800
University of Sannio,601–800
University of Santiago de Compostela,601–800
Savitribai Phule Pune University,601–800
University of Campania Luigi Vanvitelli,601–800
Shanghai University,601–800
"Soochow University, China",601–800
Southern Cross University,601–800
University of Strasbourg,601–800
Sultan Qaboos University,601–800
University of the Sunshine Coast,601–800
SUNY Binghamton University,601–800
University of Tabriz,601–800
Tabriz University of Medical Sciences,601–800
Taif University,601–800
Tallinn University of Technology,601–800
University of Tehran,601–800
Tehran University of Medical Sciences,601–800
Universiti Teknologi Malaysia,601–800
University of Texas at Arlington,601–800
The University of Texas at San Antonio,601–800
Thapar Institute of Engineering and Technology,601–800
University of Toledo,601–800
TU Braunschweig,601–800
University of Ulsan,601–800
Ulster University,601–800
Umm Al-Qura University,601–800
Paris Lodron Universität Salzburg,601–800
Wenzhou University,601–800
University of the Western Cape,601–800
University of the West of Scotland,601–800
University of Windsor,601–800
University of Wolverhampton,601–800
University of Wuppertal,601–800
Xi’an Jiaotong-Liverpool University,601–800
Yokohama City University,601–800
Zhengzhou University,601–800
University of the Aegean,801–1000
"University of Agriculture, Faisalabad",801–1000
The University of Aizu,801–1000
The University of Alabama,801–1000
Al-Azhar University,801–1000
Al-Balqa Applied University,801–1000
University of Alcalá,801–1000
Alexandria University,801–1000
Aligarh Muslim University,801–1000
American University in Cairo,801–1000
Anna University,801–1000
University of Applied Sciences and Arts of Western Switzerland,801–1000
Aristotle University of Thessaloniki,801–1000
Athens University of Economics and Business,801–1000
Universidad Autónoma de Chile,801–1000
University of Aveiro,801–1000
University of the Balearic Islands,801–1000
University of the Basque Country,801–1000
University of Bedfordshire,801–1000
University of Beira Interior,801–1000
University of Belgrade,801–1000
Beni-Suef University,801–1000
University of Bergamo,801–1000
Bharathiar University,801–1000
Bilkent University,801–1000
