University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
Yokohama National University,1462,1201–1500,1255.0,,,
Yuan Ze University,1463,1201–1500,1599.0,,,
University of Zagreb,1465,1201–1500,529.0,,,
Akita University,1469,1501+,1739.0,,,
Annamalai University,1474,1501+,1988.0,,,
Başkent University,1489,1501+,1905.0,,,
Manisa Celal Bayar University,1504,1501+,1797.0,,,
Chubu University,1508,1501+,1914.0,,,
Chuo University,1509,1501+,1085.0,,,
Comillas Pontifical University,1511,1501+,1687.0,,,
Cracow University of Technology,1513,1501+,1847.0,,,
Cukurova University,1515,1501+,930.0,,,
Dokkyo Medical University,1519,1501+,1809.0,,,
Doshisha University,1520,1501+,1461.0,,,
Erzincan Binali Yıldırım University,1524,1501+,1360.0,,,
Eskişehir Osmangazi University,1526,1501+,1803.0,,,
Federal University of Mato Grosso do Sul,1539,1501+,1149.0,,,
Federal University of Pará,1541,1501+,1196.0,,,
Federal University of Pelotas,1543,1501+,953.0,,,
Federal University of Pernambuco,1544,1501+,863.0,,,
Federal University of Piauí,1545,1501+,1897.0,,,
Federal Rural University of Pernambuco,1546,1501+,1627.0,,,
Feng Chia University,1550,1501+,1457.0,,,
Fluminense Federal University,1551,1501+,967.0,,,
University of Fukui,1554,1501+,1675.0,,,
Fukuoka University,1555,1501+,1424.0,,,
Gaziantep University,1556,1501+,1060.0,,,
University of Guadalajara,1561,1501+,1352.0,,,
University of Guanajuato,1562,1501+,1604.0,,,
Hanoi University of Science and Technology,1563,1501+,1958.0,,,
University of Hyogo,1568,1501+,966.0,,,
Ibaraki University,1569,1501+,1597.0,,,
Inönü University,1571,1501+,1976.0,,,
I-Shou University,1573,1501+,1556.0,,,
Ivane Javakhishvili Tbilisi State University,1575,1501+,875.0,,,
Iwate University,1576,1501+,1750.0,,,
Izmir Institute of Technology,1577,1501+,1192.0,,,
Kagoshima University,1580,1501+,1066.0,,,
Kanagawa University,1581,1501+,1852.0,,,
University of Karachi,1583,1501+,1887.0,,,
Karadeniz Technical University,1584,1501+,1440.0,,,
Kasetsart University,1585,1501+,1298.0,,,
Kocaeli University,1588,1501+,1665.0,,,
Kookmin University,1591,1501+,1540.0,,,
Kwansei Gakuin University,1593,1501+,1462.0,,,
Kyoto Sangyo University,1594,1501+,1828.0,,,
Kyoto Institute of Technology,1595,1501+,1860.0,,,
Lodz University of Technology,1599,1501+,1374.0,,,
Meiji University,1608,1501+,1850.0,,,
Meijo University,1609,1501+,898.0,,,
University of Miyazaki,1614,1501+,1361.0,,,
Nagoya Institute of Technology,1623,1501+,1531.0,,,
National Chiayi University,1626,1501+,1910.0,,,
National University of Córdoba,1628,1501+,976.0,,,
National Kaohsiung University of Science and Technology,1632,1501+,1417.0,,,
National United University,1634,1501+,1875.0,,,
University of Novi Sad,1637,1501+,1117.0,,,
Ochanomizu University,1639,1501+,1514.0,,,
Oita University,1640,1501+,1794.0,,,
Ondokuz Mayis University,1641,1501+,1657.0,,,
Payame Noor University,1650,1501+,1693.0,,,
Polytechnic University of Bucharest,1654,1501+,933.0,,,
University of Rijeka,1662,1501+,1549.0,,,
Saitama University,1667,1501+,1319.0,,,
Shimane University,1672,1501+,1407.0,,,
Shizuoka University,1673,1501+,887.0,,,
University of Shizuoka,1674,1501+,1885.0,,,
University of Silesia in Katowice,1676,1501+,1157.0,,,
Slovak University of Technology in Bratislava,1680,1501+,1629.0,,,
University of Sonora,1681,1501+,1952.0,,,
Süleyman Demirel University,1686,1501+,1398.0,,,
Tottori University,1701,1501+,1311.0,,,
University of Valparaíso,1708,1501+,1624.0,,,
Van Yüzüncü Yil University,1709,1501+,1986.0,,,
Vietnam National University (Ho Chi Minh City),1710,1501+,1492.0,,,
University of Warmia and Mazury in Olsztyn,1713,1501+,1537.0,,,
West University of Timişoara,1715,1501+,1206.0,,,
Wrocław University of Science and Technology,1716,1501+,999.0,,,
Yamaguchi University,1717,1501+,1173.0,,,
Yanshan University,1718,1501+,920.0,,,
Aga Khan University,1727,Reporter,1051.0,,,
Antonio Nariño University,1769,Reporter,1391.0,,,
Central European University,1817,Reporter,1745.0,,,
Courtauld Institute of Art,1831,Reporter,731.0,,,
Cranfield University,1832,Reporter,831.0,,,
Doğuş University,1852,Reporter,1587.0,,,
University of the Highlands and Islands,1911,Reporter,1812.0,,,
Hiroshima Institute of Technology,1914,Reporter,1384.0,,,
Hitotsubashi University,1915,Reporter,556.0,,,
Istanbul Aydın University,1935,Reporter,1430.0,,,
Liverpool School of Tropical Medicine,1989,Reporter,1164.0,,,
London Business School,1992,Reporter,870.0,,,
London School of Hygiene and Tropical Medicine,1993,Reporter,236.0,,,
Nara Institute of Science and Technology,2033,Reporter,1175.0,,,
Nara Women’s University,2034,Reporter,1830.0,,,
University of Nova Gorica,2065,Reporter,1823.0,,,
Suez University,2148,Reporter,1923.0,,,
West Virginia University,2218,Reporter,494.0,,,
Okayama University,1110,1001–1200,,601-650,401-500,
Palacký University Olomouc,1112,1001–1200,,651-700,701-800,
University of Patras,1113,1001–1200,,801-1000,,
Pavol Jozef Šafárik University in Košice,1114,1001–1200,,701-750,,
University of Pécs,1115,1001–1200,,701-750,,
Pondicherry University,1118,1001–1200,,801-1000,,1824.0
Portland State University,1119,1001–1200,,1201-1400,901-1000,1121.0
Pusan National University,1123,1001–1200,,601-650,501-600,
Rikkyo University,1126,1001–1200,,1201-1400,,
Robert Gordon University,1127,1001–1200,,801-1000,,1523.0
Sakarya University,1131,1001–1200,,1401+,,1404.0
Sogang University,1143,1001–1200,,457,,
University of Split,1150,1001–1200,,1201-1400,,1192.0
Ştefan cel Mare University of Suceava,1151,1001–1200,,1201-1400,,
University of Szeged,1155,1001–1200,,551-560,701-800,
Tallinn University,1156,1001–1200,,1001-1200,,
Technological University Dublin,1159,1001–1200,,801-1000,,
Tokyo Metropolitan University,1163,1001–1200,,701-750,,
Universiti Tunku Abdul Rahman (UTAR),1166,1001–1200,,801-1000,,
"Vietnam National University, Hanoi",1169,1001–1200,,801-1000,,
Waseda University,1171,1001–1200,,205,601-700,
University of Westminster,1172,1001–1200,,701-750,,1084.0
Wuhan University of Technology,1173,1001–1200,,801-1000,301-400,
Yarmouk University,1175,1001–1200,,1201-1400,,1948.0
AGH University of Science and Technology,1188,1201–1500,,801-1000,601-700,
University of Alicante,1192,1201–1500,,801-1000,601-700,
Anadolu University,1193,1201–1500,,1201-1400,,
Atatürk University,1202,1201–1500,,1401+,,1013.0
Bandung Institute of Technology (ITB),1205,1201–1500,,235,,
Bangladesh University of Engineering and Technology,1207,1201–1500,,801-1000,,1449.0
Brno University of Technology,1214,1201–1500,,701-750,901-1000,
University of Bucharest,1216,1201–1500,,1001-1200,,1567.0
Budapest University of Technology and Economics,1217,1201–1500,,801-1000,901-1000,
Canterbury Christ Church University,1219,1201–1500,,1001-1200,,1760.0
The Catholic University of Korea,1221,1201–1500,,494,,
"University of Chemistry and Technology, Prague",1224,1201–1500,,358,,
Chungbuk National University,1227,1201–1500,,1001-1200,901-1000,
Chungnam National University,1228,1201–1500,,751-800,701-800,
Chung Yuan Christian University,1229,1201–1500,,1201-1400,,
Corvinus University of Budapest,1233,1201–1500,,1001-1200,,
Czech Technical University in Prague,1234,1201–1500,,378,801-900,
De La Salle University,1236,1201–1500,,801-1000,,
Ege University,1240,1201–1500,,1201-1400,901-1000,1062.0
Erciyes University,1244,1201–1500,,1401+,901-1000,1382.0
Universidade do Estado do Rio de Janeiro (UERJ),1246,1201–1500,,1001-1200,,716.0
Universidade Federal da Bahia,1248,1201–1500,,1201-1400,,1194.0
Universidade Federal do Paraná (UFPR),1252,1201–1500,,801-1000,,
Gdańsk University of Technology,1266,1201–1500,,801-1000,801-900,
German University in Cairo,1269,1201–1500,,1201-1400,,2736.0
Gifu University,1270,1201–1500,,601-650,,
Gunma University,1273,1201–1500,,651-700,,
Hallym University,1275,1201–1500,,571-580,901-1000,
Harbin Engineering University,1276,1201–1500,,801-1000,501-600,
The Hashemite University,1278,1201–1500,,1201-1400,,
Helwan University,1281,1201–1500,,1201-1400,,1675.0
University of Hradec Králové,1283,1201–1500,,801-1000,,
Ivan Franko National University of Lviv,1292,1201–1500,,1001-1200,,
Jeju National University,1294,1201–1500,,1001-1200,,
Kangwon National University,1298,1201–1500,,1001-1200,801-900,
Kaunas University of Technology,1300,1201–1500,,801-1000,,
Khon Kaen University,1302,1201–1500,,801-1000,,714.0
Universiti Malaysia Sarawak (UNIMAS),1317,1201–1500,,1001-1200,,
University of Maribor,1318,1201–1500,,801-1000,,
Marmara University,1319,1201–1500,,1201-1400,,1277.0
Mendel University in Brno,1320,1201–1500,,801-1000,,
Mie University,1322,1201–1500,,347,,
University of Mumbai,1327,1201–1500,,1001-1200,,2366.0
Nagasaki University,1330,1201–1500,,571-580,,
National Chengchi University,1332,1201–1500,,601-650,,
National Chung Cheng University,1334,1201–1500,,801-1000,,
National Chung Hsing University,1335,1201–1500,,651-700,,
National Dong Hwa University,1337,1201–1500,,1201-1400,,
National Technical University Kharkiv Polytechnic Institute,1339,1201–1500,,651-700,,
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,1340,1201–1500,,701-750,,
Slovak University of Agriculture in Nitra,1343,1201–1500,,1201-1400,,
Osmania University,1352,1201–1500,,1201-1400,,
University of Ostrava,1353,1201–1500,,1001-1200,,
University of Pannonia,1354,1201–1500,,1001-1200,,
Pontifícia Universidade Católica do Paraná,1361,1201–1500,,1201-1400,,
Poznan University of Technology,1363,1201–1500,,801-1000,,
University of Primorska,1364,1201–1500,,1001-1200,,
Prince of Songkla University,1365,1201–1500,,801-1000,,
Qassim University,1366,1201–1500,,801-1000,,
Riga Technical University,1367,1201–1500,,751-800,,
Ritsumeikan University,1368,1201–1500,,701-750,,
Universitas Sebelas Maret,1377,1201–1500,,1001-1200,,
University of Seoul,1380,1201–1500,,801-1000,,
Shibaura Institute of Technology,1388,1201–1500,,1201-1400,,
Shinshu University,1390,1201–1500,,801-1000,,
Silesian University of Technology,1392,1201–1500,,1001-1200,,
Soongsil University,1395,1201–1500,,1201-1400,,
SRM Institute of Science and Technology,1400,1201–1500,,1201-1400,,
Suranaree University of Technology,1403,1201–1500,,1201-1400,,
Tamkang University,1405,1201–1500,,1201-1400,,
Taras Shevchenko National University of Kyiv,1407,1201–1500,,651-700,,
Technical University of Košice,1408,1201–1500,,801-1000,,
Thammasat University,1417,1201–1500,,651-700,,
Tokai University,1421,1201–1500,,1001-1200,,
Tokushima University,1423,1201–1500,,701-750,,
Tokyo University of Agriculture and Technology,1424,1201–1500,,701-750,,
Tokyo University of Science,1426,1201–1500,,801-1000,,
Tomas Bata University in Zlín,1427,1201–1500,,1001-1200,,
Transilvania University of Brașov,1430,1201–1500,,1201-1400,,
Tunghai University,1432,1201–1500,,1201-1400,,
Universiti Malaysia Terengganu (UMT),1438,1201–1500,,1001-1200,,
Universiti Tun Hussein Onn Malaysia (UTHM),1439,1201–1500,,1001-1200,,
Vilnius Gediminas Technical University (Vilnius Tech),1445,1201–1500,,701-750,,
V.N. Karazin Kharkiv National University,1447,1201–1500,,541-550,,
Vytautas Magnus University,1448,1201–1500,,801-1000,,
Warsaw University of Technology,1450,1201–1500,,521-530,,
University of West Bohemia,1451,1201–1500,,1201-1400,,
Western Michigan University,1453,1201–1500,,1001-1200,,
Yokohama National University,1462,1201–1500,,801-1000,,
Yuan Ze University,1463,1201–1500,,1201-1400,,
University of Zagreb,1465,1201–1500,,801-1000,,
Alexandru Ioan Cuza University,1471,1501+,,1201-1400,,
Aoyama Gakuin University,1475,1501+,,1201-1400,,
Universidad Autónoma Chapingo,1476,1501+,,751-800,,
Universidad Autónoma del Estado de Mexico (UAEMex),1480,1501+,,801-1000,,
Universidad Autónoma de Yucatán,1484,1501+,,1201-1400,,
University of Baghdad,1487,1501+,,801-1000,,
Baku State University,1488,1501+,,1001-1200,,
University of Basrah,1490,1501+,,1201-1400,,
Benemérita Universidad Autónoma de Puebla,1492,1501+,,1001-1200,,
University of Craiova,1514,1501+,,1401+,,
Cukurova University,1515,1501+,,1401+,,
Diponegoro University,1518,1501+,,801-1000,,
Doshisha University,1520,1501+,,1001-1200,,
Escuela Politécnica Nacional,1525,1501+,,1001-1200,,
Universidade do Estado de Santa Catarina,1527,1501+,,1201-1400,,
Universidade Federal do Ceará (UFC),1532,1501+,,1201-1400,,
Feng Chia University,1550,1501+,,1201-1400,,
Hanoi University of Science and Technology,1563,1501+,,1201-1400,,
Universidad Industrial de Santander (UIS),1570,1501+,,1001-1200,,
Instituto Politécnico Nacional (IPN),1572,1501+,,751-800,,
Ivane Javakhishvili Tbilisi State University,1575,1501+,,601-650,,
Kagoshima University,1580,1501+,,701-750,,
University of Karachi,1583,1501+,,1201-1400,,
Kasetsart University,1585,1501+,,801-1000,,
King Mongkut’s Institute of Technology Ladkrabang,1586,1501+,,1201-1400,,
Kookmin University,1591,1501+,,1001-1200,,
University of Kufa,1592,1501+,,1001-1200,,
Kwansei Gakuin University,1593,1501+,,1201-1400,,
Kyoto Institute of Technology,1595,1501+,,1001-1200,,
Lodz University of Technology,1599,1501+,,801-1000,,
Lucian Blaga University of Sibiu,1600,1501+,,1201-1400,,
Meiji University,1608,1501+,,1201-1400,,
University of Miskolc,1613,1501+,,1001-1200,,
Mustansiriyah University,1620,1501+,,1001-1200,,
Universidad Nacional del Litoral,1621,1501+,,1201-1400,,
Universidad Nacional Mayor de San Marcos,1622,1501+,,801-1000,,
National Taipei University,1633,1501+,,1201-1400,,
University of Novi Sad,1637,1501+,,1201-1400,,
University of Oradea,1642,1501+,,1401+,,
Universidad Panamericana (UP),1647,1501+,,541-550,,
University of Pardubice,1648,1501+,,1001-1200,,
University of Rijeka,1662,1501+,,1001-1200,,
Saitama University,1667,1501+,,1001-1200,,
Satbayev University,1669,1501+,,405,,
University of Silesia in Katowice,1676,1501+,,1201-1400,,
Slovak University of Technology in Bratislava,1680,1501+,,801-1000,,
Sophia University,1682,1501+,,801-1000,,
Universitas Sumatera Utara,1687,1501+,,1201-1400,,
Technical University of Cluj-Napoca,1689,1501+,,1201-1400,,
Technical University of Liberec,1690,1501+,,801-1000,,
Telkom University,1695,1501+,,1001-1200,,
Universitas Andalas,1704,1501+,,1201-1400,,
Universiti Malaysia Sabah (UMS),1705,1501+,,1001-1200,,
VSB - Technical University of Ostrava,1711,1501+,,1201-1400,,
University of Warmia and Mazury in Olsztyn,1713,1501+,,1001-1200,,
Yamaguchi University,1717,1501+,,801-1000,,
Ajman University,1733,Reporter,,651-700,,
Al-Quds University,1751,Reporter,,1001-1200,,
Azerbaijan State University of Economics,1778,Reporter,,1001-1200,,
Birzeit University,1799,Reporter,,1201-1400,,
Universidad Católica de Colombia,1810,Reporter,,1201-1400,,
University of Dubai,1855,Reporter,,801-1000,,
Future University in Egypt,1891,Reporter,,1001-1200,,
Harper Adams University,1905,Reporter,,1001-1200,,
Hitotsubashi University,1915,Reporter,,531-540,,
International Christian University,1925,Reporter,,801-1000,,
Islamic University of Madinah,1932,Reporter,,801-1000,,
Istanbul Aydın University,1935,Reporter,,1001-1200,,
Kyrgyz-Turkish Manas University,1973,Reporter,,801-1000,,
London Metropolitan University,1994,Reporter,,801-1000,,
Mutah University,2024,Reporter,,1001-1200,,
Universidad San Ignacio de Loyola,2113,Reporter,,1201-1400,,
University of Santo Tomas,2115,Reporter,,801-1000,,
University of West London,2216,Reporter,,801-1000,,
West Virginia University,2218,Reporter,,1001-1200,,
Kitasato University,1305,1201–1500,,,601-700,
University of Malaga,1315,1201–1500,,,701-800,
Metropolitan Autonomous University,1321,1201–1500,,,901-1000,
Nagasaki University,1330,1201–1500,,,801-900,
National Chung Hsing University,1335,1201–1500,,,801-900,
North China Electric Power University,1345,1201–1500,,,701-800,
Prince of Songkla University,1365,1201–1500,,,801-900,
University of Shanghai for Science and Technology,1387,1201–1500,,,701-800,
Shinshu University,1390,1201–1500,,,701-800,
Southwest Jiaotong University,1398,1201–1500,,,501-600,
SRM Institute of Science and Technology,1400,1201–1500,,,901-1000,
Tokyo University of Agriculture and Technology,1424,1201–1500,,,901-1000,
Tokyo University of Science,1426,1201–1500,,,601-700,
University of Valladolid,1441,1201–1500,,,901-1000,
Warsaw University of Technology,1450,1201–1500,,,901-1000,
University of Zagreb,1465,1201–1500,,,401-500,
Federal University of Pernambuco,1544,1501+,,,801-900,
Fluminense Federal University,1551,1501+,,,701-800,
University of Novi Sad,1637,1501+,,,901-1000,
Saitama University,1667,1501+,,,901-1000,
Wrocław University of Science and Technology,1716,1501+,,,901-1000,
Yanshan University,1718,1501+,,,801-900,
Cranfield University,1832,Reporter,,,801-900,
"University of Health Sciences, Turkey",1910,Reporter,,,601-700,
Liverpool School of Tropical Medicine,1989,Reporter,,,701-800,
London School of Hygiene and Tropical Medicine,1993,Reporter,,,151-200,
Nara Institute of Science and Technology,2033,Reporter,,,901-1000,
West Virginia University,2218,Reporter,,,401-500,
University of Mysore,1328,1201–1500,,,,3411.0
National Chung Hsing University,1335,1201–1500,,,,954.0
University of North Carolina Wilmington,1344,1201–1500,,,,1064.0
Obafemi Awolowo University,1347,1201–1500,,,,1317.0
Universitas Pendidikan Indonesia,1357,1201–1500,,,,2199.0
Prince of Songkla University,1365,1201–1500,,,,841.0
Qassim University,1366,1201–1500,,,,1562.0
Université Saint-Joseph de Beyrouth,1371,1201–1500,,,,1974.0
SASTRA University,1375,1201–1500,,,,2111.0
Selçuk University,1378,1201–1500,,,,2506.0
Semnan University,1379,1201–1500,,,,1749.0
Shahed University,1383,1201–1500,,,,3656.0
Shahid Bahonar University of Kerman,1384,1201–1500,,,,1648.0
​Shahid Chamran University of Ahvaz,1385,1201–1500,,,,2302.0
Sri Venkateswara University,1399,1201–1500,,,,4226.0
SRM Institute of Science and Technology,1400,1201–1500,,,,1085.0
Staffordshire University,1401,1201–1500,,,,1624.0
Suranaree University of Technology,1403,1201–1500,,,,1364.0
Universiti Teknikal Malaysia Melaka,1413,1201–1500,,,,1504.0
Institut Teknologi Sepuluh Nopember,1414,1201–1500,,,,1160.0
Texas State University,1415,1201–1500,,,,5944.0
Thammasat University,1417,1201–1500,,,,1066.0
Transilvania University of Brașov,1430,1201–1500,,,,1369.0
Tshwane University of Technology,1431,1201–1500,,,,1717.0
Tunghai University,1432,1201–1500,,,,1322.0
University of Venda,1443,1201–1500,,,,2941.0
University of Western Macedonia,1452,1201–1500,,,,2376.0
Western Michigan University,1453,1201–1500,,,,712.0
Yazd University,1461,1201–1500,,,,1928.0
University of Zagreb,1465,1201–1500,,,,571.0
University of Zanjan,1466,1201–1500,,,,2167.0
Zanjan University of Medical Sciences,1467,1201–1500,,,,2464.0
Aksaray University,1470,1501+,,,,2702.0
Alexandru Ioan Cuza University,1471,1501+,,,,1010.0
Annamalai University,1474,1501+,,,,2175.0
Universidad Autónoma Chapingo,1476,1501+,,,,4443.0
Universidad Autónoma de Ciudad Juárez,1477,1501+,,,,2661.0
Universidad Autónoma de Coahuila,1478,1501+,,,,3887.0
Universidad Autónoma del Estado de Hidalgo,1479,1501+,,,,3205.0
Universidad Autónoma del Estado de Morelos,1481,1501+,,,,3560.0
Universidad Autónoma de Querétaro,1483,1501+,,,,2252.0
Universidad Autónoma de Yucatán,1484,1501+,,,,2030.0
University of Baghdad,1487,1501+,,,,1580.0
Başkent University,1489,1501+,,,,2049.0
University of Basrah,1490,1501+,,,,2691.0
Benemérita Universidad Autónoma de Puebla,1492,1501+,,,,1107.0
Burapha University,1499,1501+,,,,1615.0
Manisa Celal Bayar University,1504,1501+,,,,3591.0
University of Craiova,1514,1501+,,,,2125.0
Cukurova University,1515,1501+,,,,2245.0
University of Dar es Salaam,1516,1501+,,,,1985.0
Dicle University,1517,1501+,,,,3906.0
Dunarea de Jos University of Galati,1522,1501+,,,,1648.0
Escuela Politécnica Nacional,1525,1501+,,,,1813.0
Eskişehir Osmangazi University,1526,1501+,,,,1723.0
Universidade Estadual do Norte Fluminense Darcy Ribeiro,1528,1501+,,,,2819.0
Universidade Estadual de Maringá,1529,1501+,,,,1514.0
Universidade Estadual do Oeste do Paraná (Unioeste),1530,1501+,,,,2867.0
"Federal University of Agriculture, Abeokuta",1531,1501+,,,,6736.0
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),1533,1501+,,,,2761.0
Universidade Federal de Ouro Preto (UFOP),1540,1501+,,,,1850.0
Gaziantep University,1556,1501+,,,,1619.0
Hellenic Open University,1566,1501+,,,,1617.0
Ivane Javakhishvili Tbilisi State University,1575,1501+,,,,1467.0
University of Karachi,1583,1501+,,,,2178.0
Kasetsart University,1585,1501+,,,,760.0
King Mongkut’s Institute of Technology Ladkrabang,1586,1501+,,,,1360.0
Kirikkale University,1587,1501+,,,,1707.0
Kocaeli University,1588,1501+,,,,1885.0
Ladoke Akintola University of Technology,1596,1501+,,,,1840.0
Mahasarakham University,1603,1501+,,,,3305.0
Universidad Michoacana de San Nicolás de Hidalgo,1611,1501+,,,,1739.0
University of Mosul,1617,1501+,,,,2563.0
Université Mouloud Mammeri de Tizi-Ouzou,1618,1501+,,,,4490.0
Mustansiriyah University,1620,1501+,,,,2391.0
Universidad Nacional del Litoral,1621,1501+,,,,2680.0
Universidad Nacional Mayor de San Marcos,1622,1501+,,,,1235.0
Naresuan University,1624,1501+,,,,1316.0
National University of Kaohsiung,1631,1501+,,,,2821.0
National Kaohsiung University of Science and Technology,1632,1501+,,,,1206.0
National United University,1634,1501+,,,,3178.0
Nnamdi Azikiwe University,1635,1501+,,,,2851.0
Ondokuz Mayis University,1641,1501+,,,,1476.0
University of Oradea,1642,1501+,,,,3411.0
Payame Noor University,1650,1501+,,,,1409.0
Pontificia Universidad Católica del Ecuador,1658,1501+,,,,2090.0
University of Rijeka,1662,1501+,,,,1516.0
Silpakorn University,1677,1501+,,,,2552.0
University of Sistan and Baluchestan,1678,1501+,,,,2199.0
Srinakharinwirot University,1683,1501+,,,,1863.0
Süleyman Demirel University,1686,1501+,,,,4990.0
Universitas Sumatera Utara,1687,1501+,,,,1717.0
Tamil Nadu Agricultural University,1688,1501+,,,,2242.0
Universidade Tecnológica Federal do Paraná (UTFPR),1693,1501+,,,,2034.0
Universitas Andalas,1704,1501+,,,,1758.0
Uşak University,1706,1501+,,,,3080.0
Walailak University,1712,1501+,,,,1836.0
University of West Attica,1714,1501+,,,,1901.0
West University of Timişoara,1715,1501+,,,,2469.0
Yeditepe University,1719,1501+,,,,2202.0
University Abdelhamid Ibn Badis Mostaganem,1721,Reporter,,,,3593.0
AECC University College,1725,Reporter,,,,10018.0
Aga Khan University,1727,Reporter,,,,1165.0
Ahl Al Bayt University,1728,Reporter,,,,2462.0
Ajman University,1733,Reporter,,,,2343.0
Al-Ayen University,1736,Reporter,,,,6783.0
Al Ahliyya Amman University,1738,Reporter,,,,2509.0
Al-Esraa University College,1741,Reporter,,,,6186.0
Al-Kitab University,1744,Reporter,,,,7490.0
Al-Maarif University College,1745,Reporter,,,,6141.0
Al-Muthanna University,1748,Reporter,,,,4235.0
Al-Nahrain University,1749,Reporter,,,,3258.0
American International University – Bangladesh,1753,Reporter,,,,3427.0
American University of Madaba,1754,Reporter,,,,5217.0
American University of Nigeria,1755,Reporter,,,,5198.0
Arab American University,1765,Reporter,,,,3551.0
Arab Open University Lebanon,1767,Reporter,,,,6815.0
Arts University Bournemouth,1768,Reporter,,,,8488.0
University of the Arts London,1770,Reporter,,,,1903.0
Arts University Plymouth,1771,Reporter,,,,11952.0
Ashur University College,1774,Reporter,,,,9143.0
Babcock University,1779,Reporter,,,,6664.0
Bangabandhu Sheikh Mujibur Rahman Agricultural University,1785,Reporter,,,,3644.0
Bartin University,1787,Reporter,,,,2591.0
Basrah University College of Science and Technology,1788,Reporter,,,,10498.0
Bath Spa University,1789,Reporter,,,,2785.0
Benson Idahosa University,1794,Reporter,,,,9744.0
Beykent University,1796,Reporter,,,,2720.0
Birzeit University,1799,Reporter,,,,2084.0
Bishop Grosseteste University,1801,Reporter,,,,11336.0
University of Bolton,1803,Reporter,,,,2387.0
Bowen University,1805,Reporter,,,,7929.0
Buriram Rajabhat University,1807,Reporter,,,,5674.0
Universidad Católica de Colombia,1810,Reporter,,,,4437.0
Cebu Technological University,1814,Reporter,,,,4846.0
University of Central Punjab,1818,Reporter,,,,2722.0
University of Chichester,1825,Reporter,,,,2957.0
Chitkara University,1826,Reporter,,,,5705.0
Courtauld Institute of Art,1831,Reporter,,,,4680.0
Cranfield University,1832,Reporter,,,,632.0
Cihan University – Erbil,1833,Reporter,,,,4343.0
University for the Creative Arts,1834,Reporter,,,,5234.0
"City University of Science and Information Technology, Peshawar",1835,Reporter,,,,4956.0
University of Cumbria,1837,Reporter,,,,3114.0
C.V. Raman Global University,1838,Reporter,,,,8332.0
Universidad del Sinú,1842,Reporter,,,,5234.0
Deraya University,1844,Reporter,,,,5075.0
University for Development Studies,1845,Reporter,,,,2598.0
Dhaka International University,1846,Reporter,,,,5775.0
Dhofar University,1847,Reporter,,,,3539.0
Dhonburi Rajabhat University,1848,Reporter,,,,9732.0
Doğuş University,1852,Reporter,,,,3487.0
University of Dubai,1855,Reporter,,,,4354.0
University of Duhok,1857,Reporter,,,,3867.0
EAN University,1858,Reporter,,,,2395.0
Ebonyi State University,1859,Reporter,,,,4086.0
École Polytechnique d’Architecture et d’Urbanisme,1862,Reporter,,,,8991.0
Effat University,1866,Reporter,,,,3463.0
Egerton University,1867,Reporter,,,,2378.0
Egyptian Russian University,1868,Reporter,,,,4464.0
European University Cyprus,1873,Reporter,,,,2141.0
"Federal University of Petroleum Resources, Effurun",1882,Reporter,,,,4144.0
"Federal University of Technology, Minna",1883,Reporter,,,,2316.0
"Federal University of Technology, Owerri",1884,Reporter,,,,3290.0
Fundación Universitaria del Área Andina,1890,Reporter,,,,6016.0
General Sir John Kotelawala Defence University,1892,Reporter,,,,7267.0
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,1893,Reporter,,,,2912.0
GLA University,1894,Reporter,,,,2849.0
Glasgow School of Art,1896,Reporter,,,,6879.0
University of Gloucestershire,1897,Reporter,,,,1887.0
Government College Women University Faisalabad,1898,Reporter,,,,10968.0
Gregory University Uturu,1902,Reporter,,,,6941.0
Guildhall School of Music and Drama,1903,Reporter,,,,7519.0
Gulf College,1904,Reporter,,,,7280.0
Harper Adams University,1905,Reporter,,,,2817.0
Hawler Medical University,1908,Reporter,,,,3811.0
University of Health and Allied Sciences,1909,Reporter,,,,8006.0
University of the Highlands and Islands,1911,Reporter,,,,1999.0
Hindustan Institute of Technology and Science,1912,Reporter,,,,2603.0
Huachiew Chalermprakiet University,1916,Reporter,,,,7377.0
University of Human Development,1917,Reporter,,,,3853.0
IMT Mines Alès,1922,Reporter,,,,5918.0
Indira Gandhi Delhi Technical University for Women,1923,Reporter,,,,9292.0
Ionian University,1927,Reporter,,,,2371.0
Islamia College Peshawar,1929,Reporter,,,,4655.0
Islamic University of Gaza,1931,Reporter,,,,2086.0
Isra University,1933,Reporter,,,,6440.0
Jerash Private University,1942,Reporter,,,,5427.0
University of Jos,1944,Reporter,,,,3418.0
Kampala International University,1946,Reporter,,,,2118.0
Kastamonu University,1949,Reporter,,,,2827.0
University of Kelaniya,1951,Reporter,,,,2971.0
University of Kerbala,1952,Reporter,,,,2294.0
Kermanshah University of Technology,1953,Reporter,,,,2189.0
Kadir Has University,1955,Reporter,,,,2611.0
Khomein University of Medical Sciences,1957,Reporter,,,,8436.0
Khulna University,1958,Reporter,,,,2780.0
Khyber Medical University,1960,Reporter,,,,9288.0
Kings University,1961,Reporter,,,,6901.0
KTO Karatay University,1970,Reporter,,,,3743.0
