University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
Qatar University,224,201–250,918.0,208,501-600,700.0
Queensland University of Technology,225,201–250,382.0,,201-300,213.0
"St George’s, University of London",228,201–250,632.0,,501-600,
University of São Paulo,230,201–250,103.0,,101-150,
Sapienza University of Rome,231,201–250,113.0,171,101-150,
Semmelweis University,232,201–250,673.0,,601-700,
University of South Florida,233,201–250,305.0,601-650,201-300,123.0
University of St Andrews,234,201–250,364.0,96,301-400,
University of Surrey,235,201–250,492.0,305,301-400,275.0
University of Sussex,236,201–250,243.0,240,151-200,282.0
University of Tartu,238,201–250,526.0,296,501-600,10570.0
Tel Aviv University,239,201–250,155.0,260,151-200,101.0
Tohoku University,240,201–250,144.0,79,151-200,
University College Dublin,241,201–250,288.0,181,301-400,255.0
Vita-Salute San Raffaele University,242,201–250,454.0,,401-500,
Vrije Universiteit Brussel,243,201–250,359.0,,,
University of Waterloo,244,201–250,204.0,154,151-200,85.0
Western University,245,201–250,189.0,172,201-300,
Western Sydney University,246,201–250,488.0,501-510,301-400,411.0
University of Wollongong,247,201–250,390.0,185,201-300,271.0
Aalborg University,248,251–300,368.0,330,301-400,
Auckland University of Technology,249,251–300,1031.0,,,720.0
Australian Catholic University,250,251–300,1004.0,801-1000,501-600,726.0
University of Bath,251,251–300,443.0,179,401-500,303.0
Beijing Normal University,252,251–300,311.0,262,201-300,
Bond University,253,251–300,1859.0,481,,1195.0
Boston College,254,251–300,524.0,561-570,401-500,374.0
Bournemouth University,255,251–300,1239.0,801-1000,801-900,789.0
"University of California, Riverside",257,251–300,249.0,453,201-300,149.0
University of Canberra,258,251–300,1094.0,511-520,801-900,802.0
Chalmers University of Technology,259,251–300,399.0,125,401-500,292.0
"China Medical University, Taiwan",260,251–300,535.0,,,
Copenhagen Business School,261,251–300,1074.0,,601-700,835.0
Deakin University,262,251–300,376.0,266,201-300,193.0
University of Duisburg-Essen,263,251–300,314.0,,301-400,
École des Ponts ParisTech,265,251–300,334.0,174,,
Goethe University Frankfurt,266,251–300,131.0,,151-200,
Griffith University,267,251–300,384.0,300,201-300,234.0
Hebrew University of Jerusalem,269,251–300,67.0,,,249.0
Indian Institute of Science,271,251–300,491.0,155,301-400,
Johannes Gutenberg University of Mainz,272,251–300,211.0,,,
King Saud University,274,251–300,357.0,237,101-150,322.0
Kyung Hee University,275,251–300,379.0,270,401-500,
La Trobe University,276,251–300,477.0,316,201-300,337.0
Linköping University,278,251–300,371.0,320,301-400,
University of Navarra,279,251–300,455.0,253,501-600,
Osaka University,281,251–300,92.0,68,151-200,
University of Pavia,282,251–300,303.0,,401-500,
Queen’s University,283,251–300,320.0,,201-300,
Ruhr University Bochum,284,251–300,316.0,,,
Sejong University,285,251–300,696.0,551-560,401-500,
University of Sharjah,286,251–300,1520.0,601-650,,1120.0
Simon Fraser University,287,251–300,354.0,328,301-400,153.0
University of Southern Denmark,288,251–300,302.0,,201-300,
Stellenbosch University,289,251–300,441.0,454,401-500,438.0
Sun Yat-sen University,290,251–300,130.0,267,79,
Swansea University,291,251–300,572.0,425,501-600,464.0
Tilburg University,292,251–300,670.0,398,601-700,702.0
Tongji University,293,251–300,219.0,212,151-200,
University of Twente,294,251–300,425.0,212,401-500,
United Arab Emirates University,295,251–300,1183.0,296,,918.0
University of Utah,296,251–300,116.0,392,101-150,63.0
University of the Witwatersrand,298,251–300,292.0,,301-400,398.0
Aix-Marseille University,300,301–350,158.0,490,101-150,
Alfaisal University,301,301–350,1735.0,651-700,,2259.0
Autonomous University of Madrid,303,301–350,285.0,,301-400,
University of Bordeaux,304,301–350,252.0,521-530,201-300,
Brandeis University,305,301–350,205.0,497,301-400,521.0
