University Name,CWUR World University Rankings
University of Guelph,479
Xidian University,480
University of Strathclyde,481
RMIT University,482
University of Zaragoza,483
University of KwaZulu-Natal,484
"Northeastern University, China",485
University of Texas Health Science Center at San Antonio,486
Southern University of Science and Technology,487
Western Sydney University,488
James Cook University,489
University of Siena,490
Indian Institute of Science,491
University of Surrey,492
Technical University of Darmstadt,493
West Virginia University,494
University of Tehran,495
Novosibirsk State University,496
Leibniz University Hannover,497
Fuzhou University,498
Baylor University,499
Federal University of Minas Gerais,500
University of Hawaii at Manoa,501
University of Ferrara,502
Ulsan National Institute of Science and Technology,503
University of Colorado Denver,504
Polytechnic University of Valencia,505
University of Rostock,506
École normale supérieure de Lyon,507
Jiangsu University,508
Joint Institute for Nuclear Research,509
University of Hull,510
Technical University of Dortmund,511
Scuola Normale Superiore di Pisa,512
University of Tennessee Health Science Center,513
University of Oviedo,514
University of Potsdam,515
Rovira i Virgili University,516
Eötvös Loránd University,517
NOVA University of Lisbon,518
Mayo Clinic College of Medicine and Science,519
Southwest University,520
Rush University,521
Lehigh University,522
University of Modena and Reggio Emilia,523
Boston College,524
University College Cork,525
University of Tartu,526
Oklahoma State University,527
Moscow Institute of Physics and Technology,528
University of Zagreb,529
University of Tromsø – The Arctic University of Norway,530
Cairo University,531
"Royal Holloway, University of London",532
Nanjing Tech University,533
Carleton University,534
"China Medical University, Taiwan",535
Savoie Mont Blanc University,536
Georgia State University,537
University of South Australia,538
University of Canterbury,539
University of Konstanz,540
Flinders University,541
University of Verona,542
Polytechnic University of Madrid,543
Southern Medical University,544
University of Bremen,545
Nanjing University of Information Science and Technology,546
Bar-Ilan University,547
University of Arkansas - Fayetteville,548
Jiangnan University,549
Saint Petersburg University,550
Mahidol University,551
Colorado School of Mines,552
University of Nantes,553
Auburn University,554
University of Pretoria,555
Hitotsubashi University,556
Beijing Jiaotong University,557
National Technical University of Athens,558
Indian Institute of Technology Madras,559
Brunel University London,560
Medical University of Innsbruck,561
Masaryk University,562
Tata Institute of Fundamental Research,563
Indian Institute of Technology Bombay,564
Ocean University of China,565
Palacký University Olomouc,566
Medical University of Graz,567
University of Graz,568
China University of Geosciences (Wuhan),569
Clemson University,570
University of Minho,571
Swansea University,572
Central China Normal University,573
Chiba University,574
Bocconi University,575
Ewha Womans University,576
North China Electric Power University,577
San Diego State University,578
Chang Gung University,579
Polytechnic University of Turin,580
National Central University,581
University of Texas at Arlington,582
University of Sherbrooke,583
Rensselaer Polytechnic Institute,584
University of Jyväskylä,585
University of Palermo,586
University of Aveiro,587
Nanjing Normal University,588
Federal University of São Paulo,589
AGH University of Science and Technology,590
University of Delhi,591
Institut Agro,592
University of Iceland,593
Hefei University of Technology,594
Middle East Technical University,595
Ioffe Physical-Technical Institute of the Russian Academy of Sciences,596
University of Macau,597
University of Wisconsin–Milwaukee,598
University of Salerno,599
Brigham Young University,600
Renmin University of China,601
University of Nebraska Medical Center,602
Zhejiang University of Technology,603
Donghua University,604
University of St.Gallen,605
Illinois Institute of Technology,606
University of Brescia,607
Indian Institute of Technology Delhi,608
Qingdao University,609
National Research Nuclear University MEPhI,610
Nanchang University,611
University of Udine,612
Concordia University,613
College of William & Mary,614
University of Cagliari,615
Swinburne University of Technology,616
Yangzhou University,617
University of Burgundy,618
Czech Technical University in Prague,619
"Institute of Cancer Research, University of London",620
University of Eastern Piedmont,621
Tehran University of Medical Sciences,622
Guangdong University of Technology,623
University of Cantabria,624
Jeonbuk National University,625
Utah State University,626
Second Military Medical University,627
CINVESTAV,628
University of Johannesburg,629
Comenius University in Bratislava,630
Southwest Jiaotong University,631
"St George's, University of London",632
Tianjin Medical University,633
University of Québec at Montreal,634
Swarthmore College,635
Catholic University of Korea,636
Chung-Ang University,637
Henryk Niewodniczański Institute of Nuclear Physics,638
National University of La Plata,639
National Polytechnic Institute,640
University of Bayreuth,641
Loughborough University,642
University of New Hampshire,643
Bielefeld University,644
Konkuk University,645
Sharif University of Technology,646
Boğaziçi University,647
Memorial University of Newfoundland,648
"National University of Ireland, Galway",649
University of Plymouth,650
South China Normal University,651
Hacettepe University,652
Rio de Janeiro State University,653
China University of Mining and Technology (Xuzhou),654
National University of Defense Technology,655
University of Haifa,656
University of La Laguna,657
"China University of Geosciences, Beijing",658
Haverford College,659
Gustave Eiffel University,660
University of Texas at San Antonio,661
Cold Spring Harbor Laboratory,662
University of Málaga,663
University of Campania Luigi Vanvitelli,664
Ankara University,665
Beijing University of Technology,666
University of Oklahoma Health Sciences Center,667
University of Angers,668
South China Agricultural University,669
Tilburg University,670
Binghamton University,671
University of Kent,672
Semmelweis University,673
Hong Kong Baptist University,674
Shinshu University,675
University of Wyoming,676
University of Fribourg,677
Guangzhou Medical University,678
University of Szeged,679
Sciences Po,680
King Fahd University of Petroleum and Minerals,681
Institut national des sciences appliquées de Lyon,682
Roma Tre University,683
Hohai University,684
"University of Nevada, Reno",685
Northeast Normal University,686
Istanbul University,687
University of Maine,688
Yokohama City University,689
Chungnam National University,690
"Northwest University, Xi'an",691
Massey University,692
University of Calabria,693
Tokyo Medical and Dental University,694
University of North Texas,695
Sejong University,696
Oswaldo Cruz Foundation,697
Istanbul Technical University,698
Vilnius University,699
University of Poitiers,700
Taipei Medical University,701
Shaanxi Normal University,702
Victoria University of Wellington,703
Loyola University Chicago,704
Tokyo Metropolitan University,705
Heriot-Watt University,706
University of Salamanca,707
Inha University,708
University of Ioannina,709
University of Texas Medical Branch,710
Warsaw University of Technology,711
Army Medical University,712
Kanazawa University,713
Mississippi State University,714
Beijing University of Posts and Telecommunications,715
Toulouse INP,716
University of Debrecen,717
Isfahan University of Technology,718
Federal University of Santa Catarina,719
Otto von Guericke University Magdeburg,720
Central Party School of the Communist Party of China,721
Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,722
National Chung Hsing University,723
University of Missouri-Kansas City,724
Wenzhou Medical University,725
Shanxi University,726
American University of Beirut,727
Montana State University - Bozeman,728
University of Massachusetts Boston,729
Panjab University,730
Courtauld Institute of Art,731
Kumamoto University,732
Nanjing University of Posts and Telecommunications,733
Indian Institute of Technology Kharagpur,734
Kangwon National University,735
University of Crete,736
China University of Petroleum (East China),737
"Birkbeck, University of London",738
Quaid-i-Azam University,739
University of Murcia,740
University of Arkansas for Medical Sciences,741
Saarland University,742
University of Cyprus,743
Ajou University,744
COMSATS University Islamabad,745
University of Castilla–La Mancha,746
Bangor University,747
Niigata University,748
Harbin Medical University,749
"University of Córdoba, Spain",750
Air Force Medical University,751
ShanghaiTech University,752
"China Medical University, PRC",753
Yeungnam University,754
International School for Advanced Studies,755
University of Jinan,756
University of Greifswald,757
Kitasato University,758
Beijing Forestry University,759
University of Alaska Fairbanks,760
University of Salento,761
Technical University of Braunschweig,762
Tokyo University of Science,763
Guangxi University,764
University of Idaho,765
"University of the Andes, Colombia",766
Federal University of Paraná,767
Tarbiat Modares University,768
"University of Maryland, Baltimore County",769
Augusta University,770
Institute for Nuclear Research of the Russian Academy of Sciences,771
Kent State University,772
University of Lübeck,773
University of Essex,774
Shandong University of Science and Technology,775
Marche Polytechnic University,776
University of Girona,777
National University of Colombia,778
Osaka City University,779
Örebro University,780
Henan University,781
Chongqing Medical University,782
"Putra University, Malaysia",783
Ain Shams University,784
Kaohsiung Medical University,785
University of Vigo,786
Norwegian University of Life Sciences,787
Anhui University,788
"University of Science, Malaysia",789
Amirkabir University of Technology,790
SUNY Downstate Medical Center,791
"Graduate School, GRINM",792
China University of Petroleum-Beijing,793
University of the Balearic Islands,794
Yerevan Physics Institute,795
"University of Natural Resources and Life Sciences, Vienna",796
University of Wuppertal,797
Ohio University,798
Harbin Engineering University,799
University of Patras,800
University of Montana,801
Ningbo University,802
University of Split,803
University of North Carolina at Charlotte,804
University of Hohenheim,805
Centrale Lille Institut,806
Carl von Ossietzky University of Oldenburg,807
National Research University Higher School of Economics,808
University of Rhode Island,809
University of Messina,810
Belarusian State University,811
National Taiwan University of Science and Technology,812
Gwangju Institute of Science and Technology,813
Gyeongsang National University,814
USI - University of Italian Speaking Switzerland,815
Jawaharlal Nehru University,816
"Open University, UK",817
Adam Mickiewicz University in Poznań,818
University of Alcalá,819
University of Siegen,820
Northern Arizona University,821
Northern Illinois University,822
University of Concepción,823
Tomsk State University,824
University of Basilicata,825
National Centre for Nuclear Research,826
National Sun Yat-sen University,827
Polytechnic University of Bari,828
"University of Nevada, Las Vegas",829
Miami University,830
Cranfield University,831
University of Wrocław,832
Graz University of Technology,833
Indian Institute of Technology Kanpur,834
Liverpool John Moores University,835
Shandong Normal University,836
Murdoch University,837
University of Denver,838
University of Toledo,839
University of L'Aquila,840
Indian Institute of Technology Roorkee,841
Hangzhou Normal University,842
Dongguk University,843
National University of Malaysia (UKM),844
Kindai University,845
Tokushima University,846
Hasselt University,847
University of Alicante,848
Carlos III University of Madrid,849
Juntendo University,850
Graduate University for Advanced Studies,851
"University of Technology, Malaysia",852
Ryerson University,853
University of Luxembourg,854
Nagasaki University,855
"University of California, Merced",856
Old Dominion University,857
Shandong First Medical University & Shandong Academy of Medical Sciences,858
University of Brasília,859
Sorbonne Paris Nord University,860
Northumbria University,861
"City, University of London",862
Federal University of Pernambuco,863
Peter the Great St. Petersburg Polytechnic University,864
Brazilian Center for Research in Physics (CBPF),865
Getúlio Vargas Foundation,866
University of Brighton,867
Anhui Medical University,868
China Pharmaceutical University,869
London Business School,870
Federico Santa María Technical University,871
Uniformed Services University of the Health Sciences,872
University of Tours,873
Aberystwyth University,874
Ivane Javakhishvili Tbilisi State University,875
Qingdao University of Science and Technology,876
University of Portsmouth,877
Benemérita Autonomous University of Puebla,878
Guangzhou University,879
North-West University,880
University of Orléans,881
University of Insubria,882
Wesleyan University,883
Shandong Agricultural University,884
Banaras Hindu University,885
Nanjing Forestry University,886
Shizuoka University,887
Taiyuan University of Technology,888
Fujian Agriculture and Forestry University,889
Zhejiang Normal University,890
L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,891
Ege University,892
New Mexico State University,893
University of Mons,894
Babeș-Bolyai University,895
Jaume I University,896
University of Shanghai for Science and Technology,897
Meijo University,898
"All India Institute of Medical Sciences, New Delhi",899
University of Louisiana at Lafayette,900
Gachon University,901
University of Valladolid,902
Jean Monnet University,903
Norwegian School of Economics,904
Sofia University,905
Gazi University,906
Jawaharlal Nehru Centre for Advanced Scientific Research,907
Iran University of Science and Technology,908
Henan Normal University,909
University of Stirling,910
Kunming University of Science and Technology,911
University of Seoul,912
"University of Science and Technology, Korea",913
Michigan Technological University,914
Khalifa University,915
Inje University,916
Medical University of Warsaw,917
Qatar University,918
Federal University of Viçosa,919
Yanshan University,920
Portland State University,921
Shiraz University,922
Missouri University of Science and Technology,923
Nihon University,924
Chungbuk National University,925
Wroclaw Medical University,926
Gabriele d’Annunzio University,927
Hunan Normal University,928
Claremont McKenna College,929
Çukurova University,930
Budapest University of Technology and Economics,931
Mansoura University,932
Polytechnic University of Bucharest,933
Academy of Scientific & Innovative Research,934
Technical University of Kaiserslautern,935
King Juan Carlos University,936
Indian Institute of Technology Guwahati,937
Shahid Beheshti University of Medical Sciences,938
University of Limerick,939
Federal University of ABC,940
Oberlin College,941
Chiang Mai University,942
"University of the Republic, Uruguay",943
Paul Valéry University,944
Keele University,945
Institut national de la recherche scientifique,946
Xiangtan University,947
Yunnan University,948
University of Akron,949
Mohammed V University,950
Federal University of Ceará,951
North Dakota State University,952
Federal University of Pelotas,953
University of Sassari,954
Makerere University,955
INSA Toulouse,956
Southern Illinois University Carbondale,957
Sichuan Agricultural University,958
Aston University,959
Federal University of São Carlos,960
East Carolina University,961
New Jersey Institute of Technology,962
University of Windsor,963
Johannes Kepler University Linz,964
Nantong University,965
University of Hyogo,966
Fluminense Federal University,967
Hangzhou Dianzi University,968
Ulster University,969
University of Regina,970
Shanghai Normal University,971
University of Naples Parthenope,972
Bucknell University,973
Marmara University,974
Tunis El Manar University,975
National University of Córdoba,976
Pomona College,977
Ferdowsi University of Mashhad,978
Hallym University,979
Colgate University,980
University of Memphis,981
ITMO University,982
Capital Normal University,983
Federal University of Rio Grande do Norte,984
University of Tabriz,985
Lappeenranta University of Technology,986
Ritsumeikan University,987
Edith Cowan University,988
Fujian Medical University,989
Babson College,990
Alexandria University,991
Homi Bhabha National Institute,992
Tokai University,993
Autonomous University of San Luis Potosí,994
Federal University of Juiz de Fora,995
Qufu Normal University,996
Pepperdine University,997
University of Extremadura,998
Wrocław University of Science and Technology,999
Bilkent University,1000
Victoria University,1001
Sanford Burnham Prebys Medical Discovery Institute,1002
American University,1003
Australian Catholic University,1004
University of A Coruña,1005
V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,1006
Tokyo University of Agriculture and Technology,1007
University of Upper Alsace,1008
Gifu University,1009
Cheung Kong Graduate School of Business,1010
Zhejiang Sci-Tech University,1011
Singapore University of Technology and Design,1012
University of Mannheim,1013
Medical University of Lodz,1014
Florida Institute of Technology,1015
University of Texas at El Paso,1016
Royal College of Surgeons in Ireland,1017
Federal University of Bahia,1018
Ehime University,1019
Fujian Normal University,1020
University of Antioquia,1021
Hunter College,1022
Nicolaus Copernicus University,1023
Cadi Ayyad University,1024
Villanova University,1025
University of Texas Rio Grande Valley,1026
University of Franche-Comté,1027
University of Bucharest,1028
University of Cádiz,1029
Yamagata University,1030
Auckland University of Technology,1031
"University of New England, Australia",1032
Louisiana Tech University,1033
Macau University of Science and Technology,1034
Florida Atlantic University,1035
Miguel Hernández University of Elche,1036
Sogang University,1037
Rochester Institute of Technology,1038
Yıldız Technical University,1039
VetAgro Sup,1040
